ID,Gaia DR2 ID,Gmag,νmax,∆ν,QF,Teff,L/L⊙,R/R⊙,M3/M⊙
M4RGB188,6045478666015246592,13.05,30.8±1.4,3.79±0.07,D,4810±108,44.0±1.5±5.1,11.5±0.7±1.8,0.83±0.08±0.10
M4RGB190,6045490210887898368,13.67,60.8±4.3,6.86±0.21,MD,4949±108,23.1±0.7±2.7,7.1±0.6±0.9,0.78±0.08±0.09
M4RGB191,6045479078332149632,13.37,40.6±1.0,4.18±0.14,MD,4892±61,32.9±0.6±3.8,12.6±0.9±1.8,0.77±0.04±0.09
M4RGB194,6045478730423545984,13.98,80.3±2.4,9.86±0.44,MD,5035±72,18.0±0.3±2.1,4.6±0.4±0.5,0.76±0.05±0.09
M4RGB195,6045478661704076672,12.08,8.6±0.2,1.26±0.02,D,4687±59,105.9±2.5±12.3,28.8±1.3±5.1,0.61±0.03±0.07
M4RGB197,6045478528576252288,12.53,17.2±0.4,2.49±0.09,D,4734±108,72.7±2.8±8.4,14.8±1.1±2.5,0.81±0.07±0.09
M4RGB20,6045466429642657280,12.10,11.0±0.7,1.84±0.06,MD,4535±59,103.0±3.0±11.9,17.0±1.5±3.4,0.85±0.07±0.10
M4RGB205,6045501996278180992,13.70,61.9±1.4,6.97±0.18,D,4971±61,24.4±0.4±2.8,7.0±0.4±0.9,0.82±0.04±0.10
M4RGB21,6045465643673557760,12.93,32.1±1.9,4.04±0.14,MD,4855±59,44.2±0.8±5.1,10.6±0.9±1.6,0.84±0.06±0.10
M4RGB210,6045478764783374208,14.18,103.0±2.8,9.86±0.19,D,5093±46,15.2±0.2±1.8,5.9±0.3±0.6,0.78±0.03±0.09
