ID,DR,Gaia,RAhRAmRAs,DEdDEmDEs,Gmag,GBPmag,GRPmag,N,RMS,Mm,n_
W2296,DR2,6045466605737087104,162335.05,-262851.9,16.81,16.52,15.72,3638,4.45,1.000,
W2297,DR2,6045502339875876608,162335.06,-262349.6,17.65,18.14,16.84,3625,26.85,1.000,
W2298,DR2,6045466605746426752,162335.07,-262854.3,16.32,16.54,15.29,3648,2.70,1.000,
W2299,DR2,6045466502657689600,162335.08,-262940.3,17.27,17.33,16.28,3648,14.21,1.000,
W2300,DR2,6045466502667197440,162335.08,-262912.7,16.97,17.40,16.20,3638,4.54,1.000,
W2301,DR2,6045502339869256832,162335.09,-262354.5,16.47,17.00,15.73,3624,13.51,1.000,
W2302,DR2,6045478562928266880,162335.10,-262600.5,17.01,17.37,16.14,3474,35.94,1.000,
W2303,DR2,6045478489905336576,162335.11,-262636.7,18.45,18.92,17.53,3623,14.35,1.000,
W2304,DR2,6045478459856720512,162335.12,-262711.1,17.67,18.15,16.84,3620,7.94,1.000,
W2305,DR2,6045478562928253312,162335.14,-262613.7,17.73,18.20,16.90,3592,16.49,1.000,
W2306,DR2,6045502339875619840,162335.14,-262337.4,17.51,18.02,16.73,3594,5.55,1.000,
W2307,DR2,6045466502657701888,162335.15,-262936.9,18.15,18.31,16.72,3505,61.07,1.000,
W2308,DR2,6045502236796388992,162335.16,-262433.6,18.37,18.88,17.45,3580,8.67,1.000,
W2309,DR2,6045466605737643776,162335.17,-262844.0,18.06,18.47,17.21,3532,32.52,1.000,
W2310,DR2,6045466537026941184,162335.18,-262904.2,15.68,16.31,14.86,3654,1.46,1.000,
W2311,DR2,6045478455545545984,162335.19,-262731.7,17.18,17.48,16.06,3605,4.37,1.000,
W2312,DR2,6045478459856697600,162335.19,-262736.1,16.54,17.05,15.79,3609,2.81,1.000,
W2313,DR2,6045478459848921728,162335.19,-262705.0,19.09,19.46,18.01,3629,33.81,1.000,
W2314,DR2,6045466502667188096,162335.21,-262921.1,15.81,16.42,15.01,3638,3.03,1.000,
W2315,DR2,6045503198869094656,162335.22,-262232.6,16.77,17.30,16.03,3614,2.10,1.000,
W2316,DR2,6045478558624813440,162335.23,-262632.9,19.02,19.35,18.00,3635,18.84,1.000,
